"SingularValueDecompositionImpl","0.11300919842312747","0.12614980289093297","96","math076",829
"SingularValueDecompositionImpl","0.11957950065703023","0.13272010512483573","101","math076",829
"SingularValueDecompositionImpl","0.12614980289093297","0.1392904073587385","106","math076",829
"SingularValueDecompositionImpl","0.1287779237844941","0.14191852825229961","108","math076",829
"SingularValueDecompositionImpl","0.16688567674113008","0.1800262812089356","137","math076",829
"SingularValueDecompositionImpl","0.1721419185282523","0.18528252299605782","141","math076",829
"SingularValueDecompositionImpl","0.1773981603153745","0.19053876478318002","145","math076",829
"SingularValueDecompositionImpl","0.18396846254927726","0.19710906701708278","150","math076",829
"SingularValueDecompositionImpl","0.18659658344283836","0.19973718791064388","152","math076",829
"ArrayRealVector","0.12149532710280374","0.12149532710280374","13","math077",175
"OpenMapRealVector","-0.009345794392523364","-0.009345794392523364","-1","math077",175
"OpenMapRealVector","0.14953271028037382","0.14953271028037382","16","math077",175
"OpenMapRealVector","0.1588785046728972","0.1588785046728972","17","math077",175
"OpenMapRealVector","0.16822429906542055","0.16822429906542055","18","math077",175
"OpenMapRealVector","0.17757009345794392","0.17757009345794392","19","math077",175
"OpenMapRealVector","0.18691588785046728","0.18691588785046728","20","math077",175
"OpenMapRealVector","0.19626168224299065","0.19626168224299065","21","math077",175
"OpenMapRealVector","0.205607476635514","0.205607476635514","22","math077",175
"OpenMapRealVector","-0.009345794392523364","-0.009345794392523364","-1","math077",175
"EventState","0.673992673992674","0.673992673992674","184","math078",341
"MathUtils","0.07017543859649122","0.07017543859649122","4","math079",125
"MathUtils","0.10526315789473684","0.10526315789473684","6","math079",125
"EigenDecompositionImpl","0.383","0.383","383","math080",1068
"EigenDecompositionImpl","0.9256292906178489","0.9256292906178489","809","math081",942
"EigenDecompositionImpl","0.08924485125858124","0.08924485125858124","78","math081",942
"EigenDecompositionImpl","0.09038901601830664","0.09038901601830664","79","math081",942
"EigenDecompositionImpl","0.61441647597254","0.61441647597254","537","math081",942
"SimplexSolver","0.8795180722891566","0.8795180722891566","219","math082",317
"SimplexTableau","0.5597014925373134","0.5597014925373134","150","math083",336
"SimplexTableau","0.08582089552238806","0.08955223880597014","24","math083",336
"SimplexTableau","0.10074626865671642","0.1044776119402985","28","math083",336
"SimplexTableau","-0.006756756756756757","-0.006756756756756757","-1","math084",216
"SimplexTableau","-0.006756756756756757","-0.006756756756756757","-1","math084",216
"UnivariateRealSolverUtils","0.33858267716535434","0.33858267716535434","43","math085",195
"CholeskyDecompositionImpl","0.19318181818181818","0.3939393939393939","104","math086",332
"CholeskyDecompositionImpl","0.19696969696969696","0.3977272727272727","105","math086",332
"CholeskyDecompositionImpl","0.20075757575757575","0.4015151515151515","106","math086",332
"CholeskyDecompositionImpl","0.11363636363636363","0.3181818181818182","84","math086",332
"SimplexTableau","0.7777777777777778","0.7777777777777778","196","math087",320
"SimplexTableau","0.7817460317460317","0.7817460317460317","197","math087",320
"SimplexTableau","-0.003968253968253968","-0.003968253968253968","-1","math087",320
"SimplexTableau","-0.003968253968253968","-0.003968253968253968","-1","math087",320
"SimplexTableau","0.14122137404580154","0.14885496183206107","39","math088",330
"SimplexTableau","0.1450381679389313","0.15267175572519084","40","math088",330
"SimplexTableau","0.14885496183206107","0.15648854961832062","41","math088",330
"SimplexTableau","0.15267175572519084","0.16030534351145037","42","math088",330
"SimplexTableau","0.15648854961832062","0.16412213740458015","43","math088",330
"SimplexTableau","0.16030534351145037","0.16793893129770993","44","math088",330
"Fraction","0.02","0.02","1","math091",118
"Fraction","0.04","0.04","2","math091",118
"MathUtils","0.2222222222222222","0.2222222222222222","6","math092",95
"MathUtils","0.25925925925925924","0.25925925925925924","7","math092",95
"MathUtils","2.814814814814815","2.814814814814815","76","math092",95
"MathUtils","2.8518518518518516","2.8518518518518516","77","math092",95
"MathUtils","-0.037037037037037035","-0.037037037037037035","-1","math092",95
"MathUtils","0.8888888888888888","0.8888888888888888","24","math092",95
"MathUtils","0.2","0.2","2","math093",78
"MathUtils","0.3","0.3","3","math093",78
"MathUtils","0.5","0.5","5","math093",78
"MathUtils","0.7","0.7","7","math093",78
"MathUtils","0.043478260869565216","0.043478260869565216","1","math094",91
"MathUtils","-0.007518796992481203","-0.007518796992481203","-1","math095",201
"MathUtils","-0.007518796992481203","-0.007518796992481203","-1","math095",201
"MathUtils","-0.007518796992481203","-0.007518796992481203","-1","math095",201
"Complex","0.2727272727272727","0.2727272727272727","6","math096",90
"BrentSolver","1.0","1.0","82","math097",150
"BrentSolver","0.012195121951219513","0.012195121951219513","1","math097",150
"BrentSolver","-0.012195121951219513","-0.012195121951219513","-1","math097",150
"BrentSolver","0.12195121951219512","0.12195121951219512","10","math097",150
"BigMatrixImpl","0.0851063829787234","0.0851063829787234","4","math098",115
"RealMatrixImpl","0.3191489361702128","0.3191489361702128","15","math098",115
"MathUtils","0.03125","0.03125","1","math099",100
"MathUtils","0.15625","0.15625","5","math099",100
"AbstractEstimator","-0.03125","-0.03125","-1","math100",100
"AbstractEstimator","-0.03125","-0.03125","-1","math100",100
"AbstractEstimator","-0.03125","-0.03125","-1","math100",100
309 0 1
